Product_id,Product_Name,Brand,Description,Categories,Initial_Price,Final_Price,Currency,Rating,Reviews_Count,Image_URL
0,Saucony Men's Kinvara 13 Running Shoe,Saucony,"When it comes to lightweight speed, nothing crushes the competition like the Kinvara. And this just so happens to be our lightest one yet. With more speed contouring and its signature flexible feel, it pushes you forward without holding anything back. These are the shoes you’ll do big things in.","[""Clothing, Shoes & Jewelry"",""Men"",""Shoes"",""Athletic"",""Running"",""Road Running""]",,"""57.79""",USD,4.6,702,https://m.media-amazon.com/images/I/71QeGmahUnL._AC_UX500_.jpg
1,Core 10 Women's All Day Comfort High-Waist Side-Pocket Yoga Legging,Core 10,"Empowering women to reach their full potential is at the heart of what we do. Because when you’re wearing Core 10, you’re ready to experience more. Be more. Live more.","[""Clothing, Shoes & Jewelry"",""Women"",""Clothing"",""Active"",""Leggings""]","""28.4""","""23.92""",USD,4.4,1538,https://m.media-amazon.com/images/I/718wu1ulePS._AC_UY500_.jpg
2,"LOOGU Desert Netting Scarf Tactical Miliary Camo Mesh Scarves for Men and Women Wraps ideal for Wargame, Sports & Other Outdoor Activities",LOOGU,"LOOGU was founded in 2012 which focus on outdoor, hunting, army, camouflage, sporting goods,and other industries,Our main products are camouflage netting,ghillie suit,rain poncho,camo scarf,camo accessries,tarp,etc. We have specialized in textile fabrics for many years and continuously strive to improve our product design to provide competitive, cost-effective products and services. Thanks for your time and interest, please let us know if we can be of further assistance. Product Details       High Quality Production The camouflage mesh scarf is made of knit workmanship, which is more excellent than other sellers that made of drilling on whole cloth. Edge Workmanship Each camouflage mesh scarf is covered with a edging process so that the threads do not spread out. Two side of the edges are locked by a knitting process. Perfect for All Climate Main Use: Camouflage, resist cold and keep warm, defense sand, Anti-mosquito. The size is super large, it can be covered on the head after unfolding, can be used for tactical camouflage, does not obstruct the line of sight.   Product Real Show   Usage and Scene   NOTIES Please note that we ship from United Kingdom and China.For orders that you receive from China, customs or import fees may be due from a certain value. You can find more information on the ""Help pages"".","[""Women"",""Accessories"",""Scarves & Wraps""]","""13.99""","""11.19""",GBP,4.6,900,https://m.media-amazon.com/images/I/61IUzxKSEAL.__AC_SX300_SY300_QL70_ML2_.jpg
3,Dingo Mens Dean Harness Pull On Casual Boots Mid Calf - Black,Dingo,"A harness and pull-on straps blend with western lines in this classic boot. Dingo makes great boots whether you are looking for fashion or function! Dingo's boot line is full of styles that will please the western and motorcycle crowds. Dingo boots have a reputation for producing tough yet stylish western boots. Dingo boots, the boot people buy by name. Nobody Puts Leather Together Like Dingo!","[""Clothing, Shoes & Jewelry"",""Boot Shop"",""Men"",""Fashion"",""Western""]","""159.95""","""144.95""",USD,4.4,1369,https://m.media-amazon.com/images/I/91Osukc6XBL.__AC_SX395_SY395_QL70_FMwebp_.jpg
4,Fruit of the Loom Women's 5 Pack Microfiber Low Rise Hipster Panties,Fruit of the Loom Women's IA,"Smooth, sleek microfiber designed to disappear under your clothes. A perfect addition for your everyday needs.","[""Clothing, Shoes & Jewelry"",""Women"",""Clothing"",""Lingerie, Sleep & Lounge"",""Lingerie"",""Panties"",""Hipsters""]","""14.99""","""9.99""",USD,4.4,876,https://m.media-amazon.com/images/I/81oUHLz-JTL.__AC_SY445_SX342_QL70_FMwebp_.jpg
5,ICTIVE Long Sleeve Workout Shirts for Women Loose fit Workout Tops for Women Running Shirts Women with Thumb Hole,Fihapyli,"Long Sleeve Cross Shirt Long Sleeve Mesh Back Tops Workout Tank Tops Mesh Tank Tops Backless Cross Tank Tops Backless Muscle Tanks Loose Backless shirt Long Sleeve Crop Tops Backless Twist Tops Backless Keyhole Tops Racerback Sleeveless Shirt Backless Workout Tops     We are young entrepreneurs. We love life and we're enthusiastic about working out. From original designs, fabric selections, and final production, our products are all made in-house. This is how we are able to offer you the highest quality products at a great value!   Tips:Take a little vinegar and salt can remove the smell of the dye, and can maintain the original.","[""Clothing, Shoes & Jewelry"",""Women"",""Clothing"",""Active"",""Active Shirts & Tees"",""T-Shirts""]","""29.98""","""21.98""",USD,4.4,2102,https://m.media-amazon.com/images/I/61wse+q59kL._AC_UY550_.jpg
6,Minnetonka Women's Back-Zipper Bootie,Minnetonka,"From the brand /* * Used when device = desktop * Configured in: configuration/brazil-config/global/brand-story.cfg */ /* Because the carousel is implemented as an ol list, any lists in the card text will have a secondary list style (letters). This will give an incorrect appearance to viewers, so we set all lists to the primary list style (numbers). */ .aplus-brand-story-card ol li { list-style: decimal; } /* Top level containers */ .aplus-module .apm-brand-story-hero { -moz-box-sizing: border-box; -webkit-box-sizing: border-box; box-sizing: border-box; width: 1464px; height: 625px; background-color: #fff; } .aplus-module .apm-brand-story-card { -moz-box-sizing: border-box; -webkit-box-sizing: border-box; box-sizing: border-box; width: 362px; height: 453px; background-color: #fff; } .apm-brand-story-hero, .apm-brand-story-card { -moz-box-sizing: border-box; -webkit-box-sizing: border-box; box-sizing: border-box; position: relative; width: 100%; height: 100%; float: none; } .aplus-module.brand-story-card-1-four-asin .apm-brand-story-card { /* Only 12px to account for image cell border */ padding: 12px; } /* Full background image (Hero 1 & Card 2) */ .aplus-module .apm-brand-story-background-image { -moz-box-sizing: border-box; -webkit-box-sizing: border-box; box-sizing: border-box; overflow: hidden; position: absolute; width: 100%; height: 100%; } /* Card 1 small images */ .aplus-module .apm-brand-story-image-row { -moz-box-sizing: border-box; -webkit-box-sizing: border-box; box-sizing: border-box; height: 185px; padding: 0px; margin: auto; display: flex; } .aplus-module .apm-brand-story-image-row .apm-brand-story-image-cell { /* Use content-box to ensure image size matches editor schema */ -moz-box-sizing: content-box; -webkit-box-sizing: content-box; box-sizing: content-box; padding: 0px; margin: 0px; width: 166px; border: 1px solid #fff; } .aplus-module .apm-brand-story-image-row .apm-brand-story-image-cell .apm-brand-story-image-link { display: block; width: 100%; height: 100%; } .aplus-module .apm-brand-story-image-row .apm-brand-story-image-cell .apm-brand-story-image-link .apm-brand-story-image-img { display: block; width: 100%; height: 100%; object-fit: cover; } /* Card 3 logo image */ .aplus-module .apm-brand-story-logo-image { -moz-box-sizing: content-box; -webkit-box-sizing: content-box; box-sizing: content-box; height: 145px; margin: 0px 4px; padding: 20px; padding-bottom: 0px; } /* Text overlays */ .aplus-module .apm-brand-story-text-bottom { -moz-box-sizing: border-box; -webkit-box-sizing: border-box; box-sizing: border-box; position: absolute; bottom: 13px; left: 13px; } .aplus-module .apm-brand-story-hero .apm-brand-story-text-bottom { background-color: rgba(0,0,0,0.6); color: #fff; padding: 13px 65px 13px 13px; /* accounts for overlap of first card */ width: 437px; } .aplus-module.brand-story-card-2-media-asset .apm-brand-story-text-bottom { background-color: rgba(255,255,255,0.6); color: #000; padding: 13px; width: 336px; } .aplus-module.brand-story-card-1-four-asin .apm-brand-story-text { margin-top: 8px; } .aplus-module.brand-story-card-1-four-asin .apm-brand-story-text.apm-brand-story-text-single { margin-top: 20px; } .aplus-module.brand-story-card-1-four-asin .apm-brand-story-text h3 { white-space: nowrap; overflow: hidden; text-overflow: ellipsis; } .aplus-module .apm-brand-story-slogan-text { -moz-box-sizing: content-box; -webkit-box-sizing: content-box; box-sizing: content-box; margin: 0px 4px; padding: 20px; } .aplus-module .apm-brand-story-faq { -moz-box-sizing: content-box; -webkit-box-sizing: content-box; box-sizing: content-box; padding-top: 10px; } .aplus-module .apm-brand-story-faq-block { margin: 0px 10px; padding: 10px; } .aplus-v2 .apm-brand-story-carousel-container { position: relative; } .aplus-v2 .apm-brand-story-carousel-hero-container, .aplus-v2 .apm-brand-story-carousel-hero-container > div { position: absolute; width: 100%; } /* Ensuring the carousel takes only the space it needs. The sizes need to be set again on the absolutely positioned elements so they can take up space. */ .aplus-v2 .apm-brand-story-carousel-container, .aplus-v2 .apm-brand-story-carousel-hero-container { height: 625px; width: calc(100% + 15px); max-width: 1464px; margin-left: auto; margin-right: auto; } /* This centers the carousel vertically on top of the hero image container and after the logo area (125px). Margin-top = (heroHeight - cardHeight - logoAreaHeight) / 2 + logoAreaHeight */ .aplus-v2 .apm-brand-story-carousel .a-carousel-row-inner{ margin-top: 149px; } /* Cards need to have a width set, otherwise they default to 50px or so. All cards must have the same width. The carousel will resize itself so all cards take the width of the largest card. The left margin is for leaving a space between each card. */ .aplus-v2 .apm-brand-story-carousel .a-carousel-card { width: 362px; margin-left: 30px !important; } /* styling the navigation buttons so they are taller, flush with the sides, and have a clean white background */ .aplus-v2 .apm-brand-story-carousel .a-carousel-col.a-carousel-left, .aplus-v2 .apm-brand-story-carousel .a-carousel-col.a-carousel-right { padding: 0px; } .aplus-v2 .apm-brand-story-carousel .a-carousel-col.a-carousel-left .a-button-image, .aplus-v2 .apm-brand-story-carousel .a-carousel-col.a-carousel-right .a-button-image { border: none; margin: 0px; } .aplus-v2 .apm-brand-story-carousel .a-carousel-col.a-carousel-left .a-button-image .a-button-inner, .aplus-v2 .apm-brand-story-carousel .a-carousel-col.a-carousel-right .a-button-image .a-button-inner { background: #fff; padding: 20px 6px; } .aplus-v2 .apm-brand-story-carousel .a-carousel-col.a-carousel-left .a-button-image .a-button-inner { border-radius: 0px 4px 4px 0px; } .aplus-v2 .apm-brand-story-carousel .a-carousel-col.a-carousel-right .a-button-image .a-button-inner { border-radius: 4px 0px 0px 4px; } Previous page View Store Visit the Store View Store Visit the Store Next page","[""Clothing, Shoes & Jewelry"",""Women"",""Shoes"",""Boots"",""Ankle & Bootie""]",,"""69.95""",USD,4.2,1788,https://m.media-amazon.com/images/I/41bb37-urPL.__AC_SX395_SY395_QL70_FMwebp_.jpg
7,Skechers Men's Crossbar Oxford,Skechers,Relaxed fit outdoor shoe,"[""Clothing, Shoes & Jewelry"",""Men"",""Shoes"",""Oxfords""]","""65""","""53.93""",USD,4.5,912,https://m.media-amazon.com/images/I/81-T20Hxu0L.__AC_SY395_SX395_QL70_ML2_.jpg
8,"Ecko Joggers for Men – Mens Sweatpants with Pockets, Mens Joggers Lounge Pants",Ecko Unltd.,"Drawstring Waist: When it comes to sweatpants for men the most important part is mobility. That’s why these men’s jogger pants feature an elastic drawstring waistband that contours to your body and won’t hamper your movement by sliding down. 2 Side & 2 Back Pockets: Apparel shouldn’t only have to be about style. That’s why ECKO aims to make its apparel practical as well. These poly fleece men’s joggers feature 2 large side pockets and 2 back pockets to conveniently carry your phone, keys, or any other small items you need to keep close by. All-Around Versatility: These lightweight comfortable joggers for men are perfect for lounging around the house, taking the dog for a walk, casual hangouts, or even taking a nap. You never know what the day will throw at you, that’s why it feels great to be prepared with clothes like these athletic men’s sweatpants that are ideal in any situation. Wardrobe Staple: These fleece men’s joggers sweatpants by ECKO are sure to become a wardrobe favorite. These fleece joggers for men feature a classic, clean-cut design combined with the expert craftsmanship you've come to expect from ECKO.     Twill Cargo Shorts Ripstop Cargo Shorts Fleece Joggers Sweatpants Twill Cargo Jogger Pants Item Quantity 1 1 1 1 Material 100% Cotton 100% Cotton Fleece 98% Cotton, 2% Spandex Uses casual, work, tactical , summer , fishing casual, work, tactical , summer , fishing casual, work, walk, nap casual, work, walk, nap","[""Clothing, Shoes & Jewelry"",""Men"",""Clothing"",""Active"",""Active Pants"",""Sweatpants""]","""29.99""","""19.99""",USD,4.3,308,https://m.media-amazon.com/images/I/71EseO4dnfL.__AC_SY445_SX342_QL70_FMwebp_.jpg
9,Skechers Women's Performance Go Walk Arch Fit-Glee Sneaker,Skechers,Enjoy your long walks in supportive comfort wearing the Skechers GOwalk Arch Fit - Glee shoe. Featuring an athletic knit upper in a lace-up sneaker with removable Arch Fit insole and a lightweight ULTRA GO cushioned midsole.,"[""Clothing, Shoes & Jewelry"",""Women"",""Shoes"",""Athletic"",""Walking""]","""85""","""58.56""",USD,4.4,129,https://m.media-amazon.com/images/I/81McV65nQ8L.__AC_SY395_SX395_QL70_FMwebp_.jpg
